artist,status,performer_id,performer_name,performer_url,note
Angel Olsen,followed,2263105,Angel Olsen,https://goout.net/en/angel-olsen/pzfyutf/,
Animal Flag,not_found,,,,
Anish Kumar & Hagop Tchaparian,not_found,,,,
Anjimile,not_found,,,,
Anna McClellan,not_found,,,,
Anna Meredith,not_found,,,,
Anna Thorvaldsdottir & Bang on a Can All-Stars,not_found,,,,
Anna Tivel,not_found,,,,
Annabel,followed,2458610,Annabelle,https://goout.net/en/annabelle/pzktihg/,
Annahstasia,followed,2558940,Annahstasia,https://goout.net/en/annahstasia/pzphtng/,
Anne Manson,not_found,,,,
Anne Müller,followed,2529216,Anne Müller,https://goout.net/en/anne-muller/pzqsvlg/,
Annet X,followed,2283941,Annet X,https://goout.net/en/annet-x/pzqhevf/,
Anthony Naples,followed,2268176,Anthony Naples,https://goout.net/en/anthony-naples/pzbceuf/,
Antony and the Johnsons & ANOHNI,not_found,,,,
AntsLive,not_found,,,,
AntsLive & WIU,not_found,,,,
Anxious,followed,2587691,Anxious,https://goout.net/en/anxious/pzqhppg/,
Anycia,not_found,,,,
Anysia Kym & Loraine James,not_found,,,,
Apollo Brown & CRIMEAPPLE,not_found,,,,
Apparat,followed,1725,Apparat,https://goout.net/en/apparat/pzatc/,
Arca,followed,2309587,Arca,https://goout.net/en/arca/pzmiuwf/,
Arca & Tokischa,not_found,,,,
Arcade Fire,followed,2240703,Arcade Fire,https://goout.net/en/arcade-fire/pzddksf/,
Arcade Fire & Owen Pallett,not_found,,,,
Architecture In Helsinki,not_found,,,,
Arctic Monkeys,followed,16262,Arctic Monkeys,https://goout.net/en/arctic-monkeys/pzmabb/,
Ariana Grande,followed,2262897,Ariana Grande,https://goout.net/en/ariana-grande/pzwputf/,
Arlo Parks,followed,2437907,Arlo Parks,https://goout.net/en/arlo-parks/pzhqagg/,
Arm's Length,not_found,,,,
Armand Hammer & The Alchemist,not_found,,,,
Armor for Sleep,not_found,,,,
ArrDee,not_found,,,,
Art School Girlfriend,followed,2427694,Art School Girlfriend,https://goout.net/en/art-school-girlfriend/pzthjfg/,
Artificial Go,not_found,,,,
Arz,followed,15290,Die Ärzte,https://goout.net/en/die-arzte/pzply/,
As Tall As Lions,not_found,,,,
Asco,followed,2418623,ascolta,https://goout.net/en/ascolta/pzxtteg/,
Ash,followed,2355419,Ash,https://goout.net/en/ash/pztqsag/,
Ashbeck,not_found,,,,
Asher White,not_found,,,,
Asian Glow,not_found,,,,
Astrig Siranossian & Nathanaël Gouin,not_found,,,,
At the Drive-In,not_found,,,,
Ata Kak,followed,2255012,Ata Kak,https://goout.net/en/ata-kak/pzmaitf/,
Athletics,not_found,,,,
Atmosphere,followed,2374897,Atmosphere,https://goout.net/en/atmosphere/pzwuybg/,
Atmosphere,followed,2374897,Atmosphere,https://goout.net/en/atmosphere/pzwuybg/,
Attacca Quartet,followed,2469446,Attacca Quartet,https://goout.net/en/attacca-quartet/pzvcbig/,
Audi Money,not_found,,,,
Audrey Hobert,not_found,,,,
Aukai & Anne Müller,not_found,,,,
Ava Luna,followed,2392856,Ava Luna,https://goout.net/en/ava-luna/pzgoddg/,
Avalon Emerson,followed,2273736,Avalon Emerson,https://goout.net/en/avalon-emerson/pzlymuf/,
Avalon Emerson & Storm Queen,not_found,,,,
Avec Plaisir,not_found,,,,
Axel Boman,followed,2276569,Axel Boman,https://goout.net/en/axel-boman/pztmruf/,
Ayetian,not_found,,,,
B6,followed,2370269,B6BBO,https://goout.net/en/b6bbo/pztkrbg/,
BEA1991,not_found,,,,
BENEE,followed,2478258,BENEE,https://goout.net/en/benee/pzifpig/,
BLACK FONDU,not_found,,,,
BLACKPINK,followed,2370454,Blackpink,https://goout.net/en/blackpink/pzesrbg/,
BM & Tion Wayne,not_found,,,,
BRONCHO,followed,2401949,Broncho,https://goout.net/en/broncho/pzycsdg/,
BXKS,not_found,,,,
BZDB,not_found,,,,
Baalti,not_found,,,,
Babe Report,not_found,,,,
Baby Keem,not_found,,,,
Baby Osamaa,not_found,,,,
Babyfxce E,not_found,,,,
Babyxsosa,not_found,,,,
Bad Books,not_found,,,,
Bad Bunny,followed,2391060,Bad Bunny,https://goout.net/en/bad-bunny/pzkradg/,
Bad Bunny & Bomba Estéreo,not_found,,,,
Bad Bunny & Buscabulla,not_found,,,,
Bad Bunny & Chencho Corleone,not_found,,,,
Bad Bunny & Chuwi,not_found,,,,
Bad Bunny & JHAYCO,not_found,,,,
Bad Bunny & Los Pleneros de la Cresta,not_found,,,,
Bad Bunny & RaiNao,not_found,,,,
Bad Bunny & Rauw Alejandro,not_found,,,,
Bad Bunny & Tainy,not_found,,,,
Bad Bunny & The Marías,not_found,,,,
Bad Bunny & Tony Dize,not_found,,,,
Bad Bunny,followed,2391060,Bad Bunny,https://goout.net/en/bad-bunny/pzkradg/,
Bad Cop Bad Cop,followed,2449959,Bad Cop/Bad Cop,https://goout.net/en/bad-cop-bad-cop/pzjxtgg/,
Bad History Month,not_found,,,,
Bad Moves,not_found,,,,
Balance and Composure,not_found,,,,
Balmorhea,followed,2533808,Balmorhea,https://goout.net/en/balmorhea/pzicemg/,
Balthazar,followed,13123,Balthazar,https://goout.net/en/balthazar/pzxyu/,
Band of Horses,followed,146597,Band of Horses,https://goout.net/en/band-of-horses/pzwnjj/,
Bang on a Can All-Stars,followed,2283393,Bang on a Can All Stars,https://goout.net/en/bang-on-a-can-all-stars/pzskdvf/,
Barely Civil,not_found,,,,
Barker,followed,2238811,Barker,https://goout.net/en/barker/pzlchsf/,
Bartees Strange,followed,2470645,Bartees Strange,https://goout.net/en/bartees-strange/pzuadig/,
Basement,followed,2306282,Basement,https://goout.net/en/basement/pzhbpwf/,
Bat for Lashes,followed,2189893,Bat For Lashes,https://goout.net/en/bat-for-lashes/pzsudpf/,
Baths,followed,2302431,Baths,https://goout.net/en/baths/pzgwiwf/,
Bay Faction,not_found,,,,
Be Safe,not_found,,,,
Beach Bunny,followed,2439449,Beach Bunny,https://goout.net/en/beach-bunny/pzycdgg/,
Beach House,followed,11136,Beach House,https://goout.net/en/beach-house/pzlur/,
Bearings,not_found,,,,
Beat!Beat!Beat!,not_found,,,,
Beatrice Dillon,followed,2423774,Beatrice Dillon,https://goout.net/en/beatrice-dillon/pzyadfg/,
Beck,followed,2334681,Beck,https://goout.net/en/beck/pzgmkyf/,
Bedbug,not_found,,,,
Been Stellar,followed,2554328,Been Stellar,https://goout.net/en/been-stellar/pzdxlng/,
Beirut,followed,2369943,Beirut,https://goout.net/en/beirut/pzswqbg/,
Bella Kay,not_found,,,,
Belmont,followed,2596603,Belmont,https://goout.net/en/belmont/pzdoeqg/,
Ben Böhmer,followed,2380105,Ben Böhmer,https://goout.net/en/ben-bohmer/pzfeicg/,
Ben Frost,followed,12050,Ben Frost,https://goout.net/en/ben-frost/pzaht/,
Ben Quad,not_found,,,,
Ben Russell,not_found,,,,
Ben Seretan,not_found,,,,
Benjamin Booker,not_found,,,,
Benjamin Clementine,followed,2259867,Benjamin Clementine,https://goout.net/en/benjamin-clementine/pzrtptf/,
Benjamin Gibbard,not_found,,,,
Benson Boone,followed,2551384,Benson Boone,https://goout.net/en/benson-boone/pzjfhng/,
Benton Falls,not_found,,,,
Bethany Cosentino,not_found,,,,
Better Lovers,followed,2589118,Better Lovers,https://goout.net/en/better-lovers/pzsorpg/,
Better Oblivion Community Center,followed,2379739,Better Oblivion Community Center,https://goout.net/en/better-oblivion-community-center/pzoohcg/,
Beyoncé,followed,16238,Beyoncé,https://goout.net/en/beyonce/pznyab/,
Beyoncé & Dolly Parton,not_found,,,,
Beyoncé & Linda Martell,not_found,,,,
Beyoncé & Miley Cyrus,not_found,,,,
Beyoncé & Post Malone,not_found,,,,
Beyoncé & Rumi Carter,not_found,,,,
Beyoncé & Shaboozey,not_found,,,,
Beyoncé & Willie Jones,not_found,,,,
Beyoncé & Willie Nelson,not_found,,,,
Beyoncé,followed,16238,Beyoncé,https://goout.net/en/beyonce/pznyab/,
Beyoncé,followed,16238,Beyoncé,https://goout.net/en/beyonce/pznyab/,
Bfb Da Packman & MIKE,not_found,,,,
Bicep,followed,2286779,Bicep,https://goout.net/en/bicep/pzevivf/,
Biffy Clyro,followed,1175198,Biffy Clyro,https://goout.net/en/biffy-clyro/pzxhfad/,
Big Red Machine,not_found,,,,
Big Red Machine & Ilsey,not_found,,,,
Big Thief,followed,2352529,Big Thief,https://goout.net/en/big-thief/pzeboag/,
BiggKutt8,not_found,,,,
Bigger Better Sun,not_found,,,,
Bilderbuch,followed,2231164,Bilderbuch,https://goout.net/en/bilderbuch/pzovtrf/,
Bill Callahan,followed,2390390,Bill Callahan,https://goout.net/en/bill-callahan/pzppycg/,
Bill Elliott & John Lennon,not_found,,,,
Bill Orcutt,followed,2291738,Bill Orcutt,https://goout.net/en/bill-orcutt/pzntqvf/,
Bill Ryder-Jones,followed,2370507,Bill Ryder-Jones,https://goout.net/en/bill-ryder-jones/pzhurbg/,
Billie Eilish,followed,2359915,Billie Eilish,https://goout.net/en/billie-eilish/pzpvabg/,
Billy Joel,not_found,,,,
Binscoring,not_found,,,,
Bishop Allen,not_found,,,,
Black Belt Eagle Scout,followed,2445196,Black Belt Eagle Scout,https://goout.net/en/black-belt-eagle-scout/pzvhmgg/,
Black Country,followed,2431693,"Black Country, New Road",https://goout.net/en/black-country-new-road/pzsrpfg/,
Black Kids,not_found,,,,
Black Knights,not_found,,,,
Black Moth Super Rainbow,not_found,,,,
Black Rebel Motorcycle Club,followed,2309011,Black Rebel Motorcycle Club,https://goout.net/en/black-rebel-motorcycle-club/pzlktwf/,
Bladee,followed,2261273,Bladee,https://goout.net/en/bladee/pzxastf/,
Bladee & Yung Lean,not_found,,,,
Blanco,followed,2289089,Jorge Blanco,https://goout.net/en/jorge-blanco/pzonmvf/,
Blawan,followed,2294152,Blawan,https://goout.net/en/blawan/pzcquvf/,
Bloc Party,followed,37135,Bloc Party,https://goout.net/en/bloc-party/pzkkjc/,
Blondie,not_found,,,,
Blood Orange,followed,2333410,Blood Orange,https://goout.net/en/blood-orange/pzkliyf/,
Blue Lake,followed,2598678,Blue Lake,https://goout.net/en/blue-lake/pzdwhqg/,
Blur,followed,16284,Blur,https://goout.net/en/blur/pzjbbb/,
Bob Dylan,followed,2207290,Bob Dylan,https://goout.net/en/bob-dylan/pzpqgqf/,
Body Meat,followed,2477802,Body Meat,https://goout.net/en/body-meat/pzcmoig/,
Body Minus Head,not_found,,,,
Boldy James,followed,2562673,Boldy James,https://goout.net/en/boldy-james/pzxgaog/,
Boldy James & Real Bad Man,not_found,,,,
Boldy James,followed,2562673,Boldy James,https://goout.net/en/boldy-james/pzxgaog/,
Bombay Bicycle Club,followed,11932,Bombay Bicycle Club,https://goout.net/en/bombay-bicycle-club/pzhct/,
Bon Iver,followed,2297664,Bon Iver,https://goout.net/en/bon-iver/pzogbwf/,
Bonny Light Horseman,not_found,,,,
Bonobo,followed,1264538,Bonobo,https://goout.net/en/bonobo/pzngxfd/,
BoofPaxkMooky,not_found,,,,
Booter Bee & La Hasba22,not_found,,,,
Born Without Bones,not_found,,,,
Bory,followed,2283957,Borixon,https://goout.net/en/borixon/pzhievf/,
Bossman Dlow,not_found,,,,
Boston Manor,followed,2319476,Boston Manor,https://goout.net/en/boston-manor/pzbelxf/,
Bow Wave,followed,2385839,MC Emsa,https://goout.net/en/mc-emsa/pzoircg/,
Box Car Racer,not_found,,,,
Brad Mehldau,followed,273208,Brad Mehldau,https://goout.net/en/brad-mehldau/pzidmr/,
Braid,followed,2302758,Braids,https://goout.net/en/braids/pzikjwf/,
Branching Out,not_found,,,,
Brand New,followed,29506,The Brand New Heavies,https://goout.net/en/the-brand-new-heavies/pzgfwb/,
Brave Little Abacus,not_found,,,,
Brent Faiyaz,not_found,,,,
Brian Dunne,not_found,,,,
Brian Eno,not_found,,,,
Bright Eyes,followed,2443516,Bright Eyes,https://goout.net/en/bright-eyes/pzqpjgg/,
Bring Me The Horizon,followed,146513,Bring Me the Horizon,https://goout.net/en/bring-me-the-horizon/pznkjj/,
Broadcast,followed,2231211,Public Service Broadcasting,https://goout.net/en/public-service-broadcasting/pzlxtrf/,
Broken Social Scene,not_found,,,,
Bruce Brubaker,followed,2474767,Bruce Brubaker,https://goout.net/en/bruce-brubaker/pzrpjig/,
Bruce Springsteen,followed,11354,Bruce Springsteen,https://goout.net/en/bruce-springsteen/pzees/,
Bruiser and Bicycle,not_found,,,,
Bryan Ferry,followed,2259125,Bryan Ferry,https://goout.net/en/bryan-ferry/pzapotf/,
Bryde,followed,2385105,Bryde,https://goout.net/en/bryde/pzfeqcg/,
Bug Hunter,not_found,,,,
Bullet for My Valentine,followed,16528,Bullet for My Valentine,https://goout.net/en/bullet-for-my-valentine/pzdlbb/,
BunnaB,not_found,,,,
Buscabulla,followed,2280373,Buscabulla,https://goout.net/en/buscabulla/pzxoxuf/,
Byt číslo 4,followed,2487519,Byt číslo 4,https://goout.net/en/byt-cislo-4/pztafjg/,
Béla Fleck,followed,2236599,Béla Fleck,https://goout.net/en/bela-fleck/pzyndsf/,
CCL,followed,2380701,CCL,https://goout.net/en/ccl/pzbdjcg/,
CEO Trayle & Larry June,not_found,,,,
CHERYM & Uninvited,not_found,,,,
CHIME OBLIVION,not_found,,,,
CHVRCHES,followed,49379,Chvrches,https://goout.net/en/chvrches/pzeaed/,
CIVIC,followed,2277190,World Civic Orchestra,https://goout.net/en/world-civic-orchestra/pzpmsuf/,
CLIFFDIVER,not_found,,,,
